team_id,team_name,ladder_score,last_submission
16658931,somewhere after,3092.3,2026-08-04 17:13:10.983000
16641077,lucaskna,2950.4,2026-08-04 23:48:05.330000
16658025,Dennis Gioche,2935.8,2026-08-05 02:38:19.733000
16630675,Lucien de Rubempre,2932.7,2026-08-04 19:41:54.500000
16623152,Ibad Ur Rahman,2931.6,2026-08-04 22:19:19.103000
16661667,Wufang Hong,2903.5,2026-08-05 00:27:36.393000
16651332,Le Viet,2874.5,2026-08-05 04:50:23.610000
16625013,sash,2868.2,2026-08-05 01:00:10.530000
16644150,J.M.Mubasshir Rahman,2838.0,2026-08-04 16:29:51.973000
16655912,sssskilo,2830.1,2026-08-05 02:14:14.640000
16643125,CARLOS CAADA ROSTRO,2828.0,2026-08-04 20:01:30.753000
16663946,Circiumaru,2821.2,2026-08-05 01:45:13.583000
16639625,Dr Chandrasen Pandey,2813.3,2026-08-05 01:26:52.856000
16634468,Kun Zhang,2796.9,2026-08-05 03:01:40.806000
16658343,aisamhottman,2796.3,2026-08-05 03:02:36.590000
16663099,Md. Abdullah Al Mamun,2795.5,2026-08-05 02:16:43.550000
16639979,naphthalene,2787.1,2026-08-05 02:29:14.906000
16664239,VK_Kaggriculture..StartCompet,2784.8,2026-08-05 02:03:48.496000
16663748,Calmracer,2783.3,2026-08-05 03:21:11.260000
16638909,mbscgi,2779.6,2026-08-04 22:48:03.943000
16655323,roma,2778.6,2026-08-05 00:51:16.493000
16663178,Sm00thiecodes,2777.7,2026-08-04 20:48:09.090000
16622198,THUNDER THUNDER,2774.6,2026-08-05 00:01:26.710000
16623799,Akhilesh godugu,2774.0,2026-08-05 03:23:07.916000
16661558,안녕하세요이세입니다잘부탁드립니다,2753.0,2026-08-05 03:00:15.163000
16622531,musya lyusya team,2752.2,2026-08-05 01:39:51.313000
16634179,daoviet,2745.8,2026-08-05 01:46:27.106000
16629165,lingyu07,2745.4,2026-08-05 02:41:08.293000
16652896,R^2 negative,2742.8,2026-08-04 23:14:38.013000
16631115,prvsiyan,2737.9,2026-08-04 23:29:02.703000
16623370,kenmatsu4,2734.8,2026-08-04 08:52:28.920000
16661707,Rudolf HOUNLETE,2733.1,2026-08-05 02:25:39.696000
16653085,haoran huang430,2726.8,2026-08-04 04:43:52.076000
16655478,Bruce,2723.0,2026-08-04 22:33:42.006000
16655686,Kyle,2707.2,2026-08-05 02:31:19.633000
16632715,cmasch,2697.3,2026-08-04 19:11:37.353000
16622349,Mengfei Li,2687.5,2026-08-04 22:41:26.296000
16624919,Juste Me (●'◡'●),2687.0,2026-08-03 19:15:02.460000
16654726,James Mancillas,2685.9,2026-08-04 20:06:49.883000
16652710,Ryutogrrr,2679.6,2026-08-05 03:53:49.380000
16653117,li jiaqi77,2671.8,2026-08-04 06:18:03.750000
16657942,Gokul Prasath,2671.7,2026-08-04 23:38:18.523000
16663513,Nagi sisiro,2663.5,2026-08-05 00:54:11.633000
16631595,CuteClaw,2655.0,2026-08-05 00:01:23.273000
16663485,Jacob Alstrup,2651.6,2026-08-04 21:03:17.473000
16629624,Sayandeep Ghosh,2651.5,2026-08-04 21:14:16.596000
16622509,Ali,2646.3,2026-08-04 22:32:45.450000
16659160,Dmitry Bardonov,2641.9,2026-08-04 12:32:30.930000
16654511,Syed Shayan Ali Shah,2633.7,2026-08-04 09:04:25.863000
16637255,Peter Parker,2630.0,2026-08-05 00:03:33.896000
16654379,Sebastian Mateus,2622.2,2026-08-05 00:14:07.983000
16654209,Nirav Mehta 1612,2620.0,2026-08-04 19:20:45.170000
16660233,ko9ma,2617.7,2026-08-04 13:22:29.290000
