id,createTime,endTime,state,type

91428155,2026-08-09 20:28:11.887000,2026-08-09 20:29:10.420000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91412775,2026-08-09 19:20:08.922000,2026-08-09 19:21:10.977000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91404862,2026-08-09 18:44:09.305000,2026-08-09 18:45:35.734000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91404720,2026-08-09 18:44:09.109000,2026-08-09 18:45:17.391000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91400344,2026-08-09 18:24:09.383000,2026-08-09 18:25:22.831000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91394052,2026-08-09 17:56:10.516000,2026-08-09 17:57:08.601000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91390511,2026-08-09 17:40:10.096000,2026-08-09 17:41:08.690000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91385948,2026-08-09 17:20:09.341000,2026-08-09 17:21:06.954000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91385027,2026-08-09 17:16:09.587000,2026-08-09 17:17:29.818000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91384076,2026-08-09 17:12:12.009000,2026-08-09 17:13:41.699000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91383166,2026-08-09 17:08:09.192000,2026-08-09 17:09:33.020000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91382243,2026-08-09 17:04:09.853000,2026-08-09 17:05:26.958000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91381341,2026-08-09 17:00:09.230000,2026-08-09 17:01:20.099000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91380435,2026-08-09 16:56:10.424000,2026-08-09 16:57:09.329000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91379514,2026-08-09 16:52:12.846000,2026-08-09 16:53:29.542000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91378601,2026-08-09 16:48:09.631000,2026-08-09 16:49:44.764000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91377700,2026-08-09 16:44:13.975000,2026-08-09 16:45:36.942000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91376783,2026-08-09 16:40:09.974000,2026-08-09 16:41:30.443000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91375859,2026-08-09 16:36:09.514000,2026-08-09 16:37:30.036000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91374952,2026-08-09 16:32:11.832000,2026-08-09 16:33:38.086000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91374037,2026-08-09 16:28:09.300000,2026-08-09 16:29:16.268000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91373112,2026-08-09 16:24:09.178000,2026-08-09 16:25:29.673000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91372188,2026-08-09 16:20:09.181000,2026-08-09 16:21:11.574000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91371266,2026-08-09 16:16:09.281000,2026-08-09 16:17:03.298000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91370341,2026-08-09 16:12:11.306000,2026-08-09 16:13:47.570000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91369415,2026-08-09 16:08:09.281000,2026-08-09 16:09:08.901000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91368474,2026-08-09 16:04:09.475000,2026-08-09 16:05:28.260000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91367575,2026-08-09 16:00:09.552000,2026-08-09 16:01:38.111000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91366686,2026-08-09 15:56:09.980000,2026-08-09 15:57:07.792000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91365226,2026-08-09 15:51:46.832000,2026-08-09 15:52:44.565000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_VALIDATION


Use "kaggle competitions replay <episode_id>" to download a replay, or "kaggle competitions logs <episode_id> <agent_index>" for agent logs.
